"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 24 00:59:02 GMT 2024","Wed Jan 24 00:59:05 GMT 2024","2696","batch-1","Order_Success","","","","Populate checkout data",""
"passed","Wed Jan 24 00:58:57 GMT 2024","Wed Jan 24 00:58:59 GMT 2024","1239","batch-1","Known_Issue","","","","Log In",""
"passed","Wed Jan 24 00:58:59 GMT 2024","Wed Jan 24 00:58:59 GMT 2024","728","batch-1","Order_Success","","","","Add items to the shopping cart [1]",""
"passed","Wed Jan 24 00:58:06 GMT 2024","Wed Jan 24 00:58:57 GMT 2024","51229","batch-1","Order_Success","","","","Navigate to the website homepage",""
"passed","Wed Jan 24 00:59:02 GMT 2024","Wed Jan 24 00:59:03 GMT 2024","1587","batch-1","Known_Issue","","","","Populate checkout data",""
"passed","Wed Jan 24 00:58:59 GMT 2024","Wed Jan 24 00:59:02 GMT 2024","2573","batch-1","Order_Success","","","","Add items to the shopping cart [2]",""
"passed","Wed Jan 24 00:58:06 GMT 2024","Wed Jan 24 00:58:57 GMT 2024","51221","batch-1","Known_Issue","","","","Navigate to the website homepage",""
"passed","Wed Jan 24 00:59:01 GMT 2024","Wed Jan 24 00:59:02 GMT 2024","578","batch-1","Known_Issue","","","","Add items to the shopping cart [2]",""
"passed","Wed Jan 24 00:58:57 GMT 2024","Wed Jan 24 00:58:59 GMT 2024","1262","batch-1","Order_Success","","","","Log In",""
"unknown","Wed Jan 24 00:59:03 GMT 2024","Wed Jan 24 00:59:04 GMT 2024","699","batch-1","Known_Issue","","","","Validate order summary and complete order",""
"passed","Wed Jan 24 00:59:05 GMT 2024","Wed Jan 24 00:59:07 GMT 2024","2667","batch-1","Order_Success","","","","Validate order summary and complete order",""
"passed","Wed Jan 24 00:58:59 GMT 2024","Wed Jan 24 00:59:01 GMT 2024","2753","batch-1","Known_Issue","","","","Add items to the shopping cart [1]",""
