"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 02 08:35:01 GMT 2024","Fri Feb 02 08:35:02 GMT 2024","661","batch-1","Known_Issue","","","","Add items to the shopping cart [2]",""
"passed","Fri Feb 02 08:35:01 GMT 2024","Fri Feb 02 08:35:02 GMT 2024","661","batch-1","Order_Success","","","","Add items to the shopping cart [2]",""
"passed","Fri Feb 02 08:34:38 GMT 2024","Fri Feb 02 08:34:59 GMT 2024","21257","batch-1","Known_Issue","","","","Navigate to the website homepage",""
"passed","Fri Feb 02 08:35:01 GMT 2024","Fri Feb 02 08:35:01 GMT 2024","822","batch-1","Known_Issue","","","","Add items to the shopping cart [1]",""
"passed","Fri Feb 02 08:35:02 GMT 2024","Fri Feb 02 08:35:04 GMT 2024","1725","batch-1","Order_Success","","","","Populate checkout data",""
"passed","Fri Feb 02 08:35:02 GMT 2024","Fri Feb 02 08:35:04 GMT 2024","1735","batch-1","Known_Issue","","","","Populate checkout data",""
"passed","Fri Feb 02 08:35:04 GMT 2024","Fri Feb 02 08:35:05 GMT 2024","716","batch-1","Order_Success","","","","Validate order summary and complete order",""
"passed","Fri Feb 02 08:34:38 GMT 2024","Fri Feb 02 08:34:59 GMT 2024","21257","batch-1","Order_Success","","","","Navigate to the website homepage",""
"passed","Fri Feb 02 08:35:01 GMT 2024","Fri Feb 02 08:35:01 GMT 2024","826","batch-1","Order_Success","","","","Add items to the shopping cart [1]",""
"unknown","Fri Feb 02 08:35:04 GMT 2024","Fri Feb 02 08:35:05 GMT 2024","821","batch-1","Known_Issue","","","","Validate order summary and complete order",""
"passed","Fri Feb 02 08:34:59 GMT 2024","Fri Feb 02 08:35:01 GMT 2024","1336","batch-1","Known_Issue","","","","Log In",""
"passed","Fri Feb 02 08:34:59 GMT 2024","Fri Feb 02 08:35:01 GMT 2024","1327","batch-1","Order_Success","","","","Log In",""
