"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 22 10:55:20 GMT 2024","Mon Jan 22 10:55:21 GMT 2024","600","batch-1","Order_Success","","","","Add items to the shopping cart [2]",""
"passed","Mon Jan 22 10:55:22 GMT 2024","Mon Jan 22 10:55:25 GMT 2024","2638","batch-1","Order_Success","","","","Validate order summary and complete order",""
"passed","Mon Jan 22 10:55:19 GMT 2024","Mon Jan 22 10:55:20 GMT 2024","727","batch-1","Known_Issue","","","","Add items to the shopping cart [1]",""
"passed","Mon Jan 22 10:55:17 GMT 2024","Mon Jan 22 10:55:20 GMT 2024","2919","batch-1","Order_Success","","","","Log In",""
"passed","Mon Jan 22 10:55:20 GMT 2024","Mon Jan 22 10:55:21 GMT 2024","600","batch-1","Known_Issue","","","","Add items to the shopping cart [2]",""
"passed","Mon Jan 22 10:55:21 GMT 2024","Mon Jan 22 10:55:22 GMT 2024","1539","batch-1","Order_Success","","","","Populate checkout data",""
"passed","Mon Jan 22 10:54:57 GMT 2024","Mon Jan 22 10:55:17 GMT 2024","19089","batch-1","Order_Success","","","","Navigate to the website homepage",""
"unknown","Mon Jan 22 10:55:26 GMT 2024","Mon Jan 22 10:55:30 GMT 2024","4684","batch-1","Known_Issue","","","","Validate order summary and complete order",""
"passed","Mon Jan 22 10:55:20 GMT 2024","Mon Jan 22 10:55:20 GMT 2024","681","batch-1","Order_Success","","","","Add items to the shopping cart [1]",""
"passed","Mon Jan 22 10:55:21 GMT 2024","Mon Jan 22 10:55:26 GMT 2024","4730","batch-1","Known_Issue","","","","Populate checkout data",""
"passed","Mon Jan 22 10:55:17 GMT 2024","Mon Jan 22 10:55:19 GMT 2024","2871","batch-1","Known_Issue","","","","Log In",""
"passed","Mon Jan 22 10:54:57 GMT 2024","Mon Jan 22 10:55:17 GMT 2024","19089","batch-1","Known_Issue","","","","Navigate to the website homepage",""
