"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 31 03:45:05 GMT 2024","Wed Jan 31 03:45:05 GMT 2024","641","batch-1","Known_Issue","","","","Add items to the shopping cart [2]",""
"passed","Wed Jan 31 03:45:03 GMT 2024","Wed Jan 31 03:45:04 GMT 2024","1218","batch-1","Known_Issue","","","","Log In",""
"passed","Wed Jan 31 03:45:04 GMT 2024","Wed Jan 31 03:45:05 GMT 2024","834","batch-1","Order_Success","","","","Add items to the shopping cart [1]",""
"passed","Wed Jan 31 03:45:04 GMT 2024","Wed Jan 31 03:45:05 GMT 2024","833","batch-1","Known_Issue","","","","Add items to the shopping cart [1]",""
"passed","Wed Jan 31 03:45:05 GMT 2024","Wed Jan 31 03:45:05 GMT 2024","639","batch-1","Order_Success","","","","Add items to the shopping cart [2]",""
"passed","Wed Jan 31 03:45:03 GMT 2024","Wed Jan 31 03:45:04 GMT 2024","1217","batch-1","Order_Success","","","","Log In",""
"passed","Wed Jan 31 03:44:39 GMT 2024","Wed Jan 31 03:45:03 GMT 2024","23879","batch-1","Known_Issue","","","","Navigate to the website homepage",""
"passed","Wed Jan 31 03:45:05 GMT 2024","Wed Jan 31 03:45:07 GMT 2024","1772","batch-1","Known_Issue","","","","Populate checkout data",""
"unknown","Wed Jan 31 03:45:07 GMT 2024","Wed Jan 31 03:45:08 GMT 2024","882","batch-1","Known_Issue","","","","Validate order summary and complete order",""
"passed","Wed Jan 31 03:44:39 GMT 2024","Wed Jan 31 03:45:03 GMT 2024","23879","batch-1","Order_Success","","","","Navigate to the website homepage",""
"passed","Wed Jan 31 03:45:05 GMT 2024","Wed Jan 31 03:45:07 GMT 2024","1773","batch-1","Order_Success","","","","Populate checkout data",""
"passed","Wed Jan 31 03:45:07 GMT 2024","Wed Jan 31 03:45:08 GMT 2024","759","batch-1","Order_Success","","","","Validate order summary and complete order",""
