"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 22 03:50:52 GMT 2024","Mon Jan 22 03:51:49 GMT 2024","57200","batch-1","Order_Success","","","","Navigate to the website homepage",""
"passed","Mon Jan 22 03:51:51 GMT 2024","Mon Jan 22 03:51:51 GMT 2024","412","batch-1","Order_Success","","","","Add items to the shopping cart [2]",""
"passed","Mon Jan 22 03:50:52 GMT 2024","Mon Jan 22 03:51:49 GMT 2024","57200","batch-1","Known_Issue","","","","Navigate to the website homepage",""
"passed","Mon Jan 22 03:51:51 GMT 2024","Mon Jan 22 03:51:53 GMT 2024","1758","batch-1","Known_Issue","","","","Populate checkout data",""
"passed","Mon Jan 22 03:51:51 GMT 2024","Mon Jan 22 03:51:53 GMT 2024","1761","batch-1","Order_Success","","","","Populate checkout data",""
"passed","Mon Jan 22 03:51:49 GMT 2024","Mon Jan 22 03:51:50 GMT 2024","1338","batch-1","Known_Issue","","","","Log In",""
"unknown","Mon Jan 22 03:51:53 GMT 2024","Mon Jan 22 03:51:54 GMT 2024","851","batch-1","Known_Issue","","","","Validate order summary and complete order",""
"passed","Mon Jan 22 03:51:49 GMT 2024","Mon Jan 22 03:51:50 GMT 2024","1338","batch-1","Order_Success","","","","Log In",""
"passed","Mon Jan 22 03:51:50 GMT 2024","Mon Jan 22 03:51:51 GMT 2024","429","batch-1","Order_Success","","","","Add items to the shopping cart [1]",""
"passed","Mon Jan 22 03:51:50 GMT 2024","Mon Jan 22 03:51:51 GMT 2024","429","batch-1","Known_Issue","","","","Add items to the shopping cart [1]",""
"passed","Mon Jan 22 03:51:53 GMT 2024","Mon Jan 22 03:51:54 GMT 2024","666","batch-1","Order_Success","","","","Validate order summary and complete order",""
"passed","Mon Jan 22 03:51:51 GMT 2024","Mon Jan 22 03:51:51 GMT 2024","412","batch-1","Known_Issue","","","","Add items to the shopping cart [2]",""
