"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 22 04:46:34 GMT 2024","Mon Jan 22 04:46:35 GMT 2024","767","batch-1","Order_Success","","","","Validate order summary and complete order",""
"passed","Mon Jan 22 04:46:33 GMT 2024","Mon Jan 22 04:46:34 GMT 2024","1697","batch-1","Order_Success","","","","Populate checkout data",""
"passed","Mon Jan 22 04:46:32 GMT 2024","Mon Jan 22 04:46:33 GMT 2024","613","batch-1","Known_Issue","","","","Add items to the shopping cart [2]",""
"passed","Mon Jan 22 04:46:19 GMT 2024","Mon Jan 22 04:46:30 GMT 2024","11709","batch-1","Known_Issue","","","","Navigate to the website homepage",""
"passed","Mon Jan 22 04:46:32 GMT 2024","Mon Jan 22 04:46:33 GMT 2024","613","batch-1","Order_Success","","","","Add items to the shopping cart [2]",""
"passed","Mon Jan 22 04:46:19 GMT 2024","Mon Jan 22 04:46:30 GMT 2024","11709","batch-1","Order_Success","","","","Navigate to the website homepage",""
"passed","Mon Jan 22 04:46:33 GMT 2024","Mon Jan 22 04:46:34 GMT 2024","1697","batch-1","Known_Issue","","","","Populate checkout data",""
"passed","Mon Jan 22 04:46:30 GMT 2024","Mon Jan 22 04:46:31 GMT 2024","725","batch-1","Order_Success","","","","Log In",""
"passed","Mon Jan 22 04:46:31 GMT 2024","Mon Jan 22 04:46:32 GMT 2024","654","batch-1","Known_Issue","","","","Add items to the shopping cart [1]",""
"unknown","Mon Jan 22 04:46:34 GMT 2024","Mon Jan 22 04:46:35 GMT 2024","897","batch-1","Known_Issue","","","","Validate order summary and complete order",""
"passed","Mon Jan 22 04:46:30 GMT 2024","Mon Jan 22 04:46:31 GMT 2024","747","batch-1","Known_Issue","","","","Log In",""
"passed","Mon Jan 22 04:46:31 GMT 2024","Mon Jan 22 04:46:32 GMT 2024","685","batch-1","Order_Success","","","","Add items to the shopping cart [1]",""
